Source,Target,Type,Id,Label,Interval,Weight
3211,1285,Directed,0,,,1
2914,468,Directed,1,,,1
3825,416,Directed,2,,,1
2566,126,Directed,3,,,1
1329,126,Directed,4,,,1
3831,288,Directed,5,,,1
2203,407,Directed,6,,,1
3720,473,Directed,7,,,1
1338,282,Directed,8,,,1
1339,282,Directed,9,,,1
2851,282,Directed,10,,,1
2814,686,Directed,11,,,1
3609,575,Directed,12,,,1
1348,575,Directed,13,,,1
3160,199,Directed,14,,,1
3161,199,Directed,15,,,1
3248,199,Directed,16,,,1
3292,199,Directed,17,,,1
3780,112,Directed,18,,,1
3780,113,Directed,19,,,1
2309,113,Directed,20,,,1
1361,113,Directed,21,,,1
3571,62,Directed,22,,,1
3931,923,Directed,23,,,1
1631,542,Directed,24,,,1
2105,466,Directed,25,,,1
3730,466,Directed,26,,,1
3712,77,Directed,27,,,1
1394,856,Directed,28,,,1
3830,856,Directed,29,,,1
1396,856,Directed,30,,,1
3554,643,Directed,31,,,1
1402,545,Directed,32,,,1
2974,545,Directed,33,,,1
1515,664,Directed,34,,,1
2966,157,Directed,35,,,1
1420,30,Directed,36,,,1
1421,30,Directed,37,,,1
3553,30,Directed,38,,,1
3539,30,Directed,39,,,1
1424,30,Directed,40,,,1
3985,30,Directed,41,,,1
3057,30,Directed,42,,,1
3904,30,Directed,43,,,1
1428,30,Directed,44,,,1
3331,30,Directed,45,,,1
1430,30,Directed,46,,,1
1431,30,Directed,47,,,1
2120,1080,Directed,48,,,1
2565,120,Directed,49,,,1
3539,120,Directed,50,,,1
2105,120,Directed,51,,,1
1442,120,Directed,52,,,1
1443,120,Directed,53,,,1
2120,120,Directed,54,,,1
2819,367,Directed,55,,,1
1446,367,Directed,56,,,1
1447,367,Directed,57,,,1
1448,367,Directed,58,,,1
3636,367,Directed,59,,,1
3619,367,Directed,60,,,1
3631,136,Directed,61,,,1
1455,41,Directed,62,,,1
1456,41,Directed,63,,,1
1457,41,Directed,64,,,1
1458,41,Directed,65,,,1
3505,41,Directed,66,,,1
1460,41,Directed,67,,,1
3627,41,Directed,68,,,1
1462,41,Directed,69,,,1
1463,41,Directed,70,,,1
3488,765,Directed,71,,,1
1465,765,Directed,72,,,1
3895,770,Directed,73,,,1
3985,365,Directed,74,,,1
3958,872,Directed,75,,,1
3554,644,Directed,76,,,1
1660,441,Directed,77,,,1
3511,441,Directed,78,,,1
1477,441,Directed,79,,,1
1763,441,Directed,80,,,1
3191,1002,Directed,81,,,1
3842,453,Directed,82,,,1
3523,480,Directed,83,,,1
2565,121,Directed,84,,,1
2507,121,Directed,85,,,1
1491,121,Directed,86,,,1
1492,121,Directed,87,,,1
2550,637,Directed,88,,,1
1623,134,Directed,89,,,1
3599,402,Directed,90,,,1
1501,402,Directed,91,,,1
3812,402,Directed,92,,,1
3659,1148,Directed,93,,,1
1552,1245,Directed,94,,,1
2932,1245,Directed,95,,,1
3168,68,Directed,96,,,1
1533,68,Directed,97,,,1
1512,68,Directed,98,,,1
1513,68,Directed,99,,,1
1514,68,Directed,100,,,1
1515,68,Directed,101,,,1
1516,68,Directed,102,,,1
3567,68,Directed,103,,,1
1518,68,Directed,104,,,1
3344,68,Directed,105,,,1
2625,68,Directed,106,,,1
1521,68,Directed,107,,,1
1522,68,Directed,108,,,1
2182,219,Directed,109,,,1
1524,219,Directed,110,,,1
1525,219,Directed,111,,,1
1526,219,Directed,112,,,1
1527,219,Directed,113,,,1
3708,154,Directed,114,,,1
1529,154,Directed,115,,,1
2203,408,Directed,116,,,1
3653,408,Directed,117,,,1
1533,98,Directed,118,,,1
1534,661,Directed,119,,,1
1535,661,Directed,120,,,1
3344,661,Directed,121,,,1
3117,661,Directed,122,,,1
1538,661,Directed,123,,,1
3713,327,Directed,124,,,1
1541,327,Directed,125,,,1
2816,327,Directed,126,,,1
1727,327,Directed,127,,,1
2818,327,Directed,128,,,1
3713,328,Directed,129,,,1
3913,328,Directed,130,,,1
1548,328,Directed,131,,,1
1550,570,Directed,132,,,1
3488,570,Directed,133,,,1
1552,570,Directed,134,,,1
2932,570,Directed,135,,,1
1554,119,Directed,136,,,1
3662,119,Directed,137,,,1
2437,119,Directed,138,,,1
3159,119,Directed,139,,,1
3511,490,Directed,140,,,1
3806,941,Directed,141,,,1
3980,778,Directed,142,,,1
1573,778,Directed,143,,,1
1574,778,Directed,144,,,1
3841,778,Directed,145,,,1
1576,778,Directed,146,,,1
3158,1033,Directed,147,,,1
3821,555,Directed,148,,,1
3894,938,Directed,149,,,1
3288,938,Directed,150,,,1
1586,938,Directed,151,,,1
2887,938,Directed,152,,,1
3523,481,Directed,153,,,1
2099,385,Directed,154,,,1
3082,385,Directed,155,,,1
2747,380,Directed,156,,,1
3168,69,Directed,157,,,1
3446,1306,Directed,158,,,1
3720,474,Directed,159,,,1
3738,474,Directed,160,,,1
3677,474,Directed,161,,,1
3485,474,Directed,162,,,1
1621,48,Directed,163,,,1
1622,48,Directed,164,,,1
1623,48,Directed,165,,,1
1624,48,Directed,166,,,1
1625,48,Directed,167,,,1
1626,48,Directed,168,,,1
1627,48,Directed,169,,,1
1628,48,Directed,170,,,1
1629,48,Directed,171,,,1
1630,48,Directed,172,,,1
1631,48,Directed,173,,,1
1632,48,Directed,174,,,1
1633,48,Directed,175,,,1
2856,48,Directed,176,,,1
1635,48,Directed,177,,,1
1636,48,Directed,178,,,1
1637,48,Directed,179,,,1
3506,48,Directed,180,,,1
3974,48,Directed,181,,,1
1640,48,Directed,182,,,1
1641,48,Directed,183,,,1
1642,48,Directed,184,,,1
1643,48,Directed,185,,,1
3805,743,Directed,186,,,1
3467,965,Directed,187,,,1
1660,442,Directed,188,,,1
3631,137,Directed,189,,,1
3708,137,Directed,190,,,1
1663,137,Directed,191,,,1
3278,137,Directed,192,,,1
3852,137,Directed,193,,,1
3246,137,Directed,194,,,1
3677,137,Directed,195,,,1
3492,137,Directed,196,,,1
1669,137,Directed,197,,,1
3251,137,Directed,198,,,1
1671,137,Directed,199,,,1
3957,137,Directed,200,,,1
1673,137,Directed,201,,,1
2899,137,Directed,202,,,1
2840,137,Directed,203,,,1
1676,137,Directed,204,,,1
1677,137,Directed,205,,,1
3397,137,Directed,206,,,1
2253,137,Directed,207,,,1
3943,977,Directed,208,,,1
3917,958,Directed,209,,,1
1687,208,Directed,210,,,1
1688,208,Directed,211,,,1
1689,208,Directed,212,,,1
1690,208,Directed,213,,,1
1691,208,Directed,214,,,1
1692,208,Directed,215,,,1
1693,208,Directed,216,,,1
1694,208,Directed,217,,,1
3951,208,Directed,218,,,1
1696,208,Directed,219,,,1
1697,208,Directed,220,,,1
1698,208,Directed,221,,,1
1699,208,Directed,222,,,1
3781,784,Directed,223,,,1
3250,784,Directed,224,,,1
3236,283,Directed,225,,,1
1709,485,Directed,226,,,1
3249,485,Directed,227,,,1
3288,954,Directed,228,,,1
3325,986,Directed,229,,,1
1719,54,Directed,230,,,1
3514,54,Directed,231,,,1
2722,54,Directed,232,,,1
3080,54,Directed,233,,,1
2099,54,Directed,234,,,1
2000,54,Directed,235,,,1
2792,54,Directed,236,,,1
1726,54,Directed,237,,,1
1727,54,Directed,238,,,1
3896,54,Directed,239,,,1
1729,54,Directed,240,,,1
1730,54,Directed,241,,,1
1731,54,Directed,242,,,1
3023,54,Directed,243,,,1
3158,54,Directed,244,,,1
1734,54,Directed,245,,,1
1735,54,Directed,246,,,1
1736,54,Directed,247,,,1
1737,54,Directed,248,,,1
3025,54,Directed,249,,,1
1739,54,Directed,250,,,1
3027,54,Directed,251,,,1
1741,54,Directed,252,,,1
3860,54,Directed,253,,,1
1743,54,Directed,254,,,1
3772,815,Directed,255,,,1
3931,815,Directed,256,,,1
