Id,Source,Target,Type,Weight
0,1329,2566,Directed,1
1,1338,1339,Directed,1
2,1338,2851,Directed,1
3,1339,2851,Directed,1
4,1348,3609,Directed,1
5,1361,2309,Directed,1
6,1361,3780,Directed,1
7,1394,1396,Directed,1
8,1394,3830,Directed,1
9,1396,3830,Directed,1
10,1402,2974,Directed,1
11,1420,1421,Directed,1
12,1420,1424,Directed,1
13,1420,1428,Directed,1
14,1420,1430,Directed,1
15,1420,1431,Directed,1
16,1420,3057,Directed,1
17,1420,3331,Directed,1
18,1420,3539,Directed,1
19,1420,3553,Directed,1
20,1420,3904,Directed,1
21,1420,3985,Directed,1
22,1421,1424,Directed,1
23,1421,1428,Directed,1
24,1421,1430,Directed,1
25,1421,1431,Directed,1
26,1421,3057,Directed,1
27,1421,3331,Directed,1
28,1421,3539,Directed,1
29,1421,3553,Directed,1
30,1421,3904,Directed,1
31,1421,3985,Directed,1
32,1424,1428,Directed,1
33,1424,1430,Directed,1
34,1424,1431,Directed,1
35,1424,3057,Directed,1
36,1424,3331,Directed,1
37,1424,3539,Directed,1
38,1424,3553,Directed,1
39,1424,3904,Directed,1
40,1424,3985,Directed,1
41,1428,1430,Directed,1
42,1428,1431,Directed,1
43,1428,3057,Directed,1
44,1428,3331,Directed,1
45,1428,3539,Directed,1
46,1428,3553,Directed,1
47,1428,3904,Directed,1
48,1428,3985,Directed,1
49,1430,1431,Directed,1
50,1430,3057,Directed,1
51,1430,3331,Directed,1
52,1430,3539,Directed,1
53,1430,3553,Directed,1
54,1430,3904,Directed,1
55,1430,3985,Directed,1
56,1431,3057,Directed,1
57,1431,3331,Directed,1
58,1431,3539,Directed,1
59,1431,3553,Directed,1
60,1431,3904,Directed,1
61,1431,3985,Directed,1
62,1442,1443,Directed,1
63,1442,2105,Directed,1
64,1442,2120,Directed,1
65,1442,2565,Directed,1
66,1442,3539,Directed,1
67,1443,2105,Directed,1
68,1443,2120,Directed,1
69,1443,2565,Directed,1
70,1443,3539,Directed,1
71,1446,1447,Directed,1
72,1446,1448,Directed,1
73,1446,2819,Directed,1
74,1446,3619,Directed,1
75,1446,3636,Directed,1
76,1447,1448,Directed,1
77,1447,2819,Directed,1
78,1447,3619,Directed,1
79,1447,3636,Directed,1
80,1448,2819,Directed,1
81,1448,3619,Directed,1
82,1448,3636,Directed,1
83,1455,1456,Directed,1
84,1455,1457,Directed,1
85,1455,1458,Directed,1
86,1455,1460,Directed,1
87,1455,1462,Directed,1
88,1455,1463,Directed,1
89,1455,3505,Directed,1
90,1455,3627,Directed,1
91,1456,1457,Directed,1
92,1456,1458,Directed,1
93,1456,1460,Directed,1
94,1456,1462,Directed,1
95,1456,1463,Directed,1
96,1456,3505,Directed,1
97,1456,3627,Directed,1
98,1457,1458,Directed,1
99,1457,1460,Directed,1
100,1457,1462,Directed,1
101,1457,1463,Directed,1
102,1457,3505,Directed,1
103,1457,3627,Directed,1
104,1458,1460,Directed,1
105,1458,1462,Directed,1
106,1458,1463,Directed,1
